Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,13.070000,13.130000,12.540000,12.800000,12.800000,4950000
2017-11-07,12.900000,13.050000,12.580000,12.750000,12.750000,5163200
2017-11-08,13.000000,13.100000,12.660000,13.000000,13.000000,4633100
2017-11-09,13.090000,13.130000,12.830000,12.900000,12.900000,3896200
2017-11-10,12.900000,12.940000,12.580000,12.740000,12.740000,2763300
2017-11-13,12.680000,13.050000,12.530000,12.940000,12.940000,3202800
2017-11-14,12.940000,12.940000,12.700000,12.760000,12.760000,3038100
2017-11-15,12.760000,12.760000,12.760000,12.760000,12.760000,0
2017-11-16,12.670000,13.500000,12.620000,13.480000,13.480000,7208000
2017-11-17,13.400000,13.450000,13.030000,13.380000,13.380000,3013900
2017-11-20,13.380000,13.380000,13.380000,13.380000,13.380000,0
2017-11-21,13.480000,13.730000,13.400000,13.650000,13.650000,3239200
2017-11-22,13.590000,13.900000,13.470000,13.860000,13.860000,4138600
2017-11-23,13.650000,13.790000,13.530000,13.750000,13.750000,1794200
2017-11-24,13.750000,14.020000,13.680000,13.880000,13.880000,2724100
2017-11-27,13.900000,14.020000,13.620000,13.840000,13.840000,3255100
2017-11-28,13.900000,13.980000,13.830000,13.830000,13.830000,2076800
2017-11-29,13.810000,13.920000,13.570000,13.710000,13.710000,4775300
2017-11-30,13.650000,13.740000,13.250000,13.350000,13.350000,5115100
2017-12-01,13.340000,13.370000,13.150000,13.250000,13.250000,1848900
2017-12-04,13.260000,13.340000,13.040000,13.160000,13.160000,2370200
2017-12-05,13.250000,13.250000,13.000000,13.140000,13.140000,2216200
2017-12-06,13.130000,13.450000,12.950000,13.450000,13.450000,2751600
2017-12-07,13.210000,13.380000,13.010000,13.380000,13.380000,2567700
2017-12-08,13.400000,13.530000,13.210000,13.260000,13.260000,1795800
2017-12-11,13.300000,13.550000,13.170000,13.450000,13.450000,2943600
2017-12-12,13.470000,14.180000,13.330000,14.180000,14.180000,3387500
2017-12-13,14.160000,14.540000,13.750000,13.890000,13.890000,6075600
2017-12-14,13.890000,14.050000,13.650000,13.870000,13.870000,3370300
2017-12-15,13.890000,14.150000,13.710000,14.150000,14.150000,3408300
2017-12-18,14.200000,14.490000,14.130000,14.350000,14.350000,3348600
2017-12-19,14.210000,14.390000,13.850000,13.910000,13.910000,2929700
2017-12-20,14.000000,14.240000,13.940000,14.110000,14.110000,1272900
2017-12-21,14.000000,14.340000,13.930000,14.340000,14.340000,1679900
2017-12-22,14.330000,14.470000,14.200000,14.430000,14.430000,1635600
2017-12-25,14.430000,14.430000,14.430000,14.430000,14.430000,0
2017-12-26,14.480000,14.520000,14.350000,14.460000,14.460000,760400
2017-12-27,14.500000,14.660000,14.370000,14.660000,14.660000,1406600
2017-12-28,14.690000,15.040000,14.600000,15.040000,15.040000,2131300
2017-12-29,15.040000,15.040000,15.040000,15.040000,15.040000,0
2018-01-02,15.020000,15.240000,14.940000,15.130000,15.130000,2159800
2018-01-03,15.040000,15.470000,14.990000,15.350000,15.350000,2603700
2018-01-04,15.350000,15.650000,15.210000,15.250000,15.250000,3734300
2018-01-05,15.250000,15.530000,15.170000,15.470000,15.470000,2807100
2018-01-08,15.480000,15.520000,15.160000,15.160000,15.160000,4077900
2018-01-09,15.180000,15.350000,14.900000,15.250000,15.250000,3272800
2018-01-10,15.200000,15.280000,15.100000,15.280000,15.280000,2128800
2018-01-11,15.290000,15.630000,15.290000,15.520000,15.520000,5548200
2018-01-12,15.490000,15.600000,15.370000,15.490000,15.490000,1345300
2018-01-15,15.470000,15.770000,15.470000,15.540000,15.540000,1253900
2018-01-16,15.710000,15.730000,15.420000,15.500000,15.500000,2298100
2018-01-17,15.750000,15.900000,15.560000,15.750000,15.750000,2181400
2018-01-18,15.800000,16.100000,15.500000,15.500000,15.500000,3923400
2018-01-19,15.550000,15.780000,15.470000,15.500000,15.500000,2164200
2018-01-22,15.590000,15.610000,15.150000,15.250000,15.250000,1313200
2018-01-23,15.290000,15.290000,14.850000,15.040000,15.040000,1725700
2018-01-24,15.290000,15.500000,15.190000,15.270000,15.270000,3450900
2018-01-25,15.270000,15.270000,15.270000,15.270000,15.270000,0
2018-01-26,15.470000,15.650000,15.240000,15.420000,15.420000,4193600
2018-01-29,15.380000,15.570000,15.240000,15.360000,15.360000,2084500
2018-01-30,15.250000,15.500000,15.110000,15.250000,15.250000,1501300
2018-01-31,15.430000,15.460000,15.150000,15.150000,15.150000,3672700
2018-02-01,15.160000,15.440000,15.160000,15.250000,15.250000,1950500
2018-02-02,15.150000,15.390000,14.910000,15.200000,15.200000,4487100
2018-02-05,14.820000,15.070000,14.670000,15.000000,15.000000,3750700
2018-02-06,14.730000,15.060000,14.570000,15.060000,15.060000,3983800
2018-02-07,15.060000,15.180000,14.750000,14.860000,14.860000,2647500
2018-02-08,14.890000,15.170000,14.750000,14.980000,14.980000,2871600
2018-02-09,14.870000,15.200000,14.630000,14.920000,14.920000,2789000
2018-02-14,15.200000,15.520000,15.160000,15.420000,15.420000,2806600
2018-02-15,15.450000,15.700000,15.340000,15.370000,15.370000,2530100
2018-02-16,15.400000,15.500000,15.200000,15.450000,15.450000,2488800
2018-02-19,15.540000,15.630000,15.400000,15.590000,15.590000,1319700
2018-02-20,15.610000,15.690000,15.340000,15.480000,15.480000,1829900
2018-02-21,15.480000,15.700000,15.390000,15.440000,15.440000,2899800
2018-02-22,15.460000,15.520000,15.270000,15.300000,15.300000,2963100
2018-02-23,15.400000,15.500000,15.110000,15.340000,15.340000,3293200
2018-02-26,15.490000,15.640000,15.390000,15.500000,15.500000,2809100
2018-02-27,15.290000,15.480000,15.150000,15.300000,15.300000,2709300
2018-02-28,15.210000,15.440000,15.110000,15.180000,15.180000,2590600
2018-03-01,15.230000,15.440000,15.140000,15.280000,15.280000,2344500
2018-03-02,15.240000,15.380000,15.160000,15.280000,15.280000,2499400
2018-03-05,15.300000,15.360000,15.200000,15.280000,15.280000,2266800
2018-03-06,15.350000,15.500000,15.060000,15.130000,15.130000,3092600
2018-03-07,15.170000,15.180000,14.810000,14.930000,14.930000,3483100
2018-03-08,14.990000,15.100000,14.840000,14.940000,14.940000,13830400
2018-03-09,15.110000,15.580000,15.100000,15.430000,15.430000,4332800
2018-03-12,15.560000,15.900000,15.540000,15.780000,15.780000,2891000
2018-03-13,15.910000,16.420000,15.910000,16.219999,16.219999,5901100
2018-03-14,16.450001,16.670000,16.299999,16.650000,16.650000,3096200
2018-03-15,16.549999,16.660000,16.260000,16.400000,16.400000,2516800
2018-03-16,16.350000,16.549999,16.120001,16.549999,16.549999,2142500
2018-03-19,16.389999,16.650000,16.170000,16.180000,16.180000,2152600
2018-03-20,16.400000,16.430000,15.890000,15.980000,15.980000,1507100
2018-03-21,15.900000,16.000000,15.600000,15.640000,15.640000,2177700
2018-03-22,15.600000,16.120001,15.600000,15.920000,15.920000,2179400
2018-03-23,15.730000,15.960000,15.480000,15.670000,15.670000,4259200
2018-03-26,15.800000,16.240000,15.800000,16.000000,16.000000,1833700
2018-03-27,16.190001,16.190001,15.690000,15.990000,15.990000,2584400
2018-03-28,15.970000,16.190001,15.630000,15.880000,15.880000,1850700
2018-03-29,15.920000,16.309999,15.790000,16.250000,16.250000,1765200
2018-04-02,16.250000,16.250000,15.690000,16.040001,16.040001,2047100
2018-04-03,16.059999,16.240000,15.700000,15.700000,15.700000,2039400
2018-04-04,15.630000,15.800000,15.270000,15.620000,15.620000,1635900
2018-04-05,16.000000,16.209999,15.250000,15.410000,15.410000,3150100
2018-04-06,15.500000,15.790000,15.300000,15.720000,15.720000,2057400
2018-04-09,15.850000,15.930000,15.350000,15.470000,15.470000,1357600
2018-04-10,15.720000,15.840000,15.250000,15.340000,15.340000,1942800
2018-04-11,15.030000,15.220000,14.270000,14.690000,14.690000,8949500
2018-04-12,14.700000,15.150000,14.690000,15.150000,15.150000,2707500
2018-04-13,15.140000,15.140000,14.830000,14.840000,14.840000,3455800
2018-04-16,14.800000,14.970000,14.590000,14.700000,14.700000,1726400
2018-04-17,14.710000,14.920000,14.620000,14.630000,14.630000,2271700
2018-04-18,14.820000,14.820000,14.570000,14.600000,14.600000,2436600
2018-04-19,14.560000,14.810000,14.200000,14.640000,14.640000,3527900
2018-04-20,14.550000,14.990000,14.470000,14.940000,14.940000,2117900
2018-04-23,14.800000,14.900000,14.410000,14.600000,14.600000,2252800
2018-04-24,14.710000,14.870000,14.580000,14.700000,14.700000,1398900
2018-04-25,14.550000,14.700000,14.310000,14.450000,14.450000,1644900
2018-04-26,14.380000,14.690000,14.380000,14.670000,14.670000,1225300
2018-04-27,14.680000,15.090000,14.640000,15.000000,15.000000,2167300
2018-04-30,15.120000,15.300000,14.850000,15.000000,15.000000,1603100
2018-05-02,14.990000,15.090000,14.700000,14.880000,14.880000,2237400
2018-05-03,14.990000,14.990000,14.410000,14.410000,14.410000,2556100
2018-05-04,14.400000,14.450000,14.000000,14.000000,14.000000,2076800
